山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
醉翁之意不在酒，在乎山水之间也。	醉翁亭记
万里赴戎机，关山度若飞。	木兰诗 / 木兰辞
蜀江水碧蜀山青，圣主朝朝暮暮情。	长恨歌
蓬山此去无多路，青鸟殷勤为探看。	无题·相见时难别亦难
骊山语罢清宵半，泪雨霖铃终不怨。	木兰词·拟古决绝词柬友
问君能有几多愁？恰似一江春水向东流。	虞美人·春花秋月何时了
轮台东门送君去，去时雪满天山路。	白雪歌送武判官归京
泉眼无声惜细流，树阴照水爱晴柔。	小池
孤山寺北贾亭西，水面初平云脚低。	钱塘湖春行
七八个星天外，两三点雨山前。	西江月·夜行黄沙道中
枯藤老树昏鸦，小桥流水人家，古道西风瘦马。	天净沙·秋思
欲渡黄河冰塞川，将登太行雪满山。	行路难·其一
落霞与孤鹜齐飞，秋水共长天一色。	滕王阁序
寒雨连江夜入吴，平明送客楚山孤。	芙蓉楼送辛渐
谁道人生无再少？门前流水尚能西！休将白发唱黄鸡。	浣溪沙·游蕲水清泉寺
春江潮水连海平，海上明月共潮生。	春江花月夜
胜日寻芳泗水滨，无边光景一时新。	春日
水何澹澹，山岛竦峙。	步出夏门行·观沧海
千山鸟飞绝，万径人踪灭。	江雪
山重水复疑无路，柳暗花明又一村。	游山西村
花自飘零水自流。一种相思，两处闲愁。	一剪梅·红藕香残玉簟秋
绿树村边合，青山郭外斜。	过故人庄
采菊东篱下，悠然见南山。	饮酒·其五
咬定青山不放松，立根原在破岩中。	竹石
千锤万凿出深山，烈火焚烧若等闲。	石灰吟
空山新雨后，天气晚来秋。	山居秋暝
客路青山外，行舟绿水前。	次北固山下
风烟俱净，天山共色。	与朱元思书
君问归期未有期，巴山夜雨涨秋池。	夜雨寄北
京口瓜洲一水间，钟山只隔数重山。	泊船瓜洲
会当凌绝顶，一览众山小。	望岳
巴山楚水凄凉地，二十三年弃置身。	酬乐天扬州初逢席上见赠
不识庐山真面目，只缘身在此山中。	题西林壁
水光潋滟晴方好，山色空蒙雨亦奇。	饮湖上初晴后雨二首·其二
山一程，水一程，身向榆关那畔行，夜深千帐灯。	长相思·山一程
烟笼寒水月笼沙，夜泊秦淮近酒家。	泊秦淮
绿遍山原白满川，子规声里雨如烟。	乡村四月
水是眼波横，山是眉峰聚。	卜算子·送鲍浩然之浙东
飞流直下三千尺，疑是银河落九天。	望庐山瀑布
青山横北郭，白水绕东城。	送友人
日日思君不见君，共饮长江水。	卜算子·我住长江头
日出江花红胜火，春来江水绿如蓝。	忆江南·江南好
桃花潭水深千尺，不及汪伦送我情。	赠汪伦
白日依山尽，黄河入海流。	登鹳雀楼
西塞山前白鹭飞，桃花流水鳜鱼肥。	渔歌子·西塞山前白鹭飞
